Especial;OP;Direccion;Comuna;Condominio;Tipo edificio;Max inicio cttos (Días);Tipologia;Estac;Bod;Visitable;Arriendo Total;GC Total;Reajuste por contrato;Meses sin reajuste;% Descuento;Cant. Meses Descuento;Cant. Garantías (Meses);Cant. Garantías Mascota (Meses);Sin Garantia;Cuotas Garantía;Rentas Necesarias;Requiere Aval(es);Plan Sin Aval;Arrienda al toque;Orientacion;m2 Depto;m2 Terraza;Estatus LLave;Candado;Status Video;Comentario;Fecha Reparacion;Presupuesto;Acepta Mascotas?;Link Listing;Unidad;Estado
Arriendo Normal;RDAD813;Exequiel Fernández 2000;Ñuñoa;Exequiel Fernandez 2000;1;30;2D1B;;;Si;522000.00;96000.00;3;6;50.00;1;1;0;No;3;3.00;1;0;54099;P;44.21;3.07;;0;OK;;2026-08-25;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/exequiel-fernandez-2000/1782/2-dormitorios?unit_id=453801&codigo_referido=;813;Lista para arrendar
Arriendo Normal;RDAD909;Exequiel Fernández 2000;Ñuñoa;Exequiel Fernandez 2000;1;30;1D1B;;;Si;421000.00;80000.00;3;6;50.00;1;1;0;No;3;3.00;1;0;54113;P;33.09;3.07;;0;OK;;2026-07-14;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/exequiel-fernandez-2000/1782/1-dormitorio?unit_id=453815&codigo_referido=;909;Lista para arrendar
Arriendo Normal;RDAD1005;Exequiel Fernández 2000;Ñuñoa;Exequiel Fernandez 2000;1;30;2D1B;;;No;524000.00;100000.00;3;6;50.00;1;1;0;No;3;3.00;1;0;54127;S;45.80;4.00;;0;OK;;2025-06-27;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/exequiel-fernandez-2000/1782/2-dormitorios?unit_id=453829&codigo_referido=;1005;Re-acondicionamiento
Arriendo Normal;RDAD1107;Exequiel Fernández 2000;Ñuñoa;Exequiel Fernandez 2000;1;30;1D1B;;;Si;423000.00;80000.00;3;6;50.00;1;1;0;No;3;3.00;1;0;54143;P;33.09;3.07;;0;OK;;2026-04-16;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/exequiel-fernandez-2000/1782/1-dormitorio?unit_id=453845&codigo_referido=;1107;Lista para arrendar
Arriendo Normal;ZAND207-A;Zañartu 1145;Ñuñoa;Zañartu Capital;1;30;1D1B;;;Si;421000.00;86000.00;3;0;0.00;0;1;0.5;Si;3;3.00;0;0;60291;O;32.00;5.00;;0;OK;;2026-07-03;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/zanartu-capital/2632/1-dormitorio?unit_id=473766&codigo_referido=;207-A;Lista para arrendar
Arriendo Normal;ZAND216-A;Zañartu 1145;Ñuñoa;Zañartu Capital;1;30;1D1B;;;Si;413000.00;84000.00;3;0;0.00;0;1;0.5;Si;3;3.00;0;0;60284;P;31.00;5.00;;0;OK;;2026-07-24;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/zanartu-capital/2632/1-dormitorio?unit_id=473775&codigo_referido=;216-A;Lista para arrendar
Arriendo Normal;ZAND302-A;Zañartu 1145;Ñuñoa;Zañartu Capital;1;30;1D1B;;;Si;416000.00;86000.00;3;0;0.00;0;1;0.5;Si;3;3.00;0;0;60276;P;32.00;5.00;;0;OK;;2026-08-13;Trabajando;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/zanartu-capital/2632/1-dormitorio?unit_id=473792&codigo_referido=;302-A;Lista para arrendar
Arriendo Normal;ZAND607-A;Zañartu 1145;Ñuñoa;Zañartu Capital;1;30;1D1B;;;Si;422000.00;84000.00;3;0;0.00;0;1;0.5;Si;3;3.00;0;0;60219;O;31.00;5.00;;0;OK;;2026-08-20;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/zanartu-capital/2632/1-dormitorio?unit_id=473890&codigo_referido=;607-A;Lista para arrendar
Arriendo Normal;ZAND620-A;Zañartu 1145;Ñuñoa;Zañartu Capital;1;30;1D1B;;;Si;418000.00;86000.00;3;0;0.00;0;1;0.5;Si;3;3.00;0;0;60208;P;32.00;5.00;;0;OK;;2026-08-21;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/zanartu-capital/2632/1-dormitorio?unit_id=473903&codigo_referido=;620-A;Lista para arrendar
Arriendo Normal;ZAND626-B;Zañartu 1145;Ñuñoa;Zañartu Capital;1;30;2D2B;;;Si;547000.00;105000.00;3;0;0.00;0;1;0.5;Si;3;3.00;0;0;60381;S;47.00;8.00;;0;OK;;2026-06-25;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/zanartu-capital/2632/2-dormitorios?unit_id=473909&codigo_referido=;626-B;Lista para arrendar
Arriendo Normal;ZAND816-A;Zañartu 1145;Ñuñoa;Zañartu Capital;1;30;1D1B;;;Si;418000.00;84000.00;3;0;0.00;0;1;0.5;Si;3;3.00;0;0;60176;P;31.00;5.00;;0;OK;;2026-08-16;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/zanartu-capital/2632/1-dormitorio?unit_id=473961&codigo_referido=;816-A;Lista para arrendar
Arriendo Normal;ZAND822-B;Zañartu 1145;Ñuñoa;Zañartu Capital;1;30;1D1B;;;Si;420000.00;81000.00;3;0;0.00;0;1;0.5;Si;3;3.00;0;0;60171;N;31.00;3.00;;0;OK;;2026-06-26;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/zanartu-capital/2632/1-dormitorio?unit_id=473967&codigo_referido=;822-B;Lista para arrendar
Arriendo Normal;ZAND1022-B;Zañartu 1145;Ñuñoa;Zañartu Capital;1;30;1D1B;;;Si;420000.00;81000.00;3;0;0.00;0;1;0.5;Si;3;3.00;0;0;60155;N;31.00;3.00;;0;OK;;2026-08-16;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/zanartu-capital/2632/1-dormitorio?unit_id=474004&codigo_referido=;1022-B;Lista para arrendar
Arriendo Normal;ZAND1031-B;Zañartu 1145;Ñuñoa;Zañartu Capital;1;30;2D1B;;;Si;526000.00;100000.00;3;0;0.00;0;1;0.5;Si;3;3.00;0;0;60329;N;45.00;6.00;;0;OK;;2026-08-25;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/zanartu-capital/2632/2-dormitorios?unit_id=474013&codigo_referido=;1031-B;Lista para arrendar
Arriendo Normal;VPQD103;Av. Pedro de Valdivia 5223;Ñuñoa;Vista Parque;1;30;1D1B;;;Si;407000.00;74000.00;3;6;50.00;1;1;0.5;No;3;3.00;1;0;72010;N;30.92;1.82;;0;OK;;2026-08-06;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/vista-parque/3007/1-dormitorio?unit_id=493295&codigo_referido=;103;Lista para arrendar
